num,faction,commitment,ops,sr,remove,cc,ws,rp_a,rp_br,rp_ru,rp_ah,rp_ge,rp_tu,rp_in,name,event,effect
80,cp,limited,3,4,TRUE,,,,,,,1,2,,土耳其增援,TURKISH REINFORCEMENTS,增援:5个土耳其步兵师，1个土耳其骑兵师
81,cp,limited,3,4,TRUE,,,,,,,1,2,,土耳其增援,TURKISH REINFORCEMENTS,增援:将土耳其第14军团、土耳其第15军团、土耳其第16军团、土耳其第17军团和土耳其-阿拉伯第18军团放置在预备军格。。增援:1个土耳其步兵师，1个土耳其-阿拉伯步兵师。可以立即进行符合条件的LCU组合。
82,cp,limited,3,4,TRUE,TRUE,,,,,,1,2,,灾难性攻击,CATASROPHIC ATTACK CC,同盟国防守战斗卡。选择一个参战且包含英国/印度/澳新战斗单位的进攻堆叠，使其整堆撤退 1 格；若无法撤退则永久消灭。若触发 Turkish Withdrawal，则取消该撤退。随后参战的同盟国防守部队可最多挺进 3 格；第一格必须进入被腾空的进攻来源地，之后可以穿过该撤退堆叠所在地，但不能停在那里。
83,cp,limited,3,4,,TRUE,,,,,,1,2,,战斗至死！,&quot;I ORDER YOU TO DIE&quot; CC,一个完全由土耳其部队组成的堆叠在防守时视为处于1级战壕内。若已在1级战壕内则视为处于2级战壕内。
84,cp,limited,4,4,TRUE,,1,,,,1,2,3,,恩维尔-法金汉首脑会议,ENVER-FALKENHAYN SUMMIT,(只能在君士坦丁堡-加利西亚的铁路相连时打出)。增援:(保加利亚第4集团军)至任何保加利亚境内同盟国控制地区。。同盟国获得并使用最多8点战略调整点数将土耳其/土耳其-阿拉伯部队战略调整至巴尔干。**这其中至少应包含一个至加利西亚的土耳其LCU**。。每个回合损耗结算阶段，若俄国革命还未达到第4阶段，则位于加利西亚的土耳其LCU需要进行一次伤害结算，因为其在加利西亚战线对抗俄国军队经历了激烈的战斗。**进行一次掷骰来决定受到伤害的多少。**。每个夏季回合的战争状态结算阶段，若有土耳其LCU仍位于加利西亚，则由于土耳其军队在东线对抗俄国的战果，可以获得+1VP(在俄国革命阶段达到第4阶段时，无法继续获得VP)。- **(注:土耳其单位只能通过该事件进入加利西亚大区。土耳其永远不能在加利西亚重建LCU或者进行LCU组合。当能够通过己方控制地区连接至君士坦丁堡等土耳其补给源时，加利西亚的受损土耳其LCU可以接受补员)**
85,cp,limited,4,4,TRUE,,1,,,,1,2,3,,靶心指令,BULL'S EYE DIRECTIVE,(黄色事件)。A:1。当作事件打出时，正常使用此牌记录的OP点数。在**所有**被本轮启动战斗的地区从预备军格战略调整1个土耳其/土耳其-阿拉伯SCU**(此时忽略堆叠限制，意味着这些地区在本次战斗中可以容纳3个以上的单位)**。本轮任何对俄国的进攻+1drm。战斗胜利后挺进的一支土耳其/土耳其-阿拉伯部队堆叠可以被再度启动进行一次额外攻击。。战斗全部结束后，将所有超过堆叠限制的SCU放回预备军格。
86,cp,limited,4,4,TRUE,,,,,,1,2,3,,戈尔利采-塔尔诺夫攻势,GORLICE-TARNOW,协约国玩家需要选择:。A:+2VP。B:将一个地图上的俄国LCU暂时移除游戏(派往东线)，4个回合后重新放置在预备军格。。阻止继续记录本回合的俄国补员点数。
87,cp,limited,4,4,TRUE,,,,,,1,2,3,,凡尔登战役,VERDUN,(只有在安纳托利亚地区以及加里波利地图没有协约国LCU时才能打出，**位于这些地区滩头标志上的协约国LCU不算作此列**)。协约国玩家需要选择。A:+2VP。B:将最多4个英国/印度/澳新师移除游戏(派往西线)。。本回合德国补员点数无法使用。。(注:协约国玩家可以选择只移除2个师，并支付+1VP的代价，也可以以1LCU=3SCU的代价进行。选择移除师时，不能选择骑兵/骆驼师和英国特殊部队(例如英国波斯宪兵或者印度卫戍师等))
88,cp,limited,5,5,TRUE,,2,,,,2,3,,,保加利亚,BULGARIA,Tu:4 A:2。——中立国参战——。保加利亚加入同盟国，按照规则中的保加利亚参战条目放置同盟国和协约国单位。
89,cp,limited,5,5,TRUE,,2,,,,2,3,4,,帕尔乌斯游说柏林,PARVUS TO BERLIN,开始进行俄国革命计时。把帕尔乌斯标志放置在第五回合，把俄国革命标志放置在第九回合。把“上帝保佑沙皇”标志放置在帕尔乌斯的同一回合，随后根据俄国VP标记调整其位置。俄国VP标记反映的是俄国在高加索战场所取得的成果。每当*接受俄国补给源补给*的俄国部队(或俄国波斯部队、亚美尼亚起义军)**占领一个非协约国原始VP点**，或者**解放一个协约国原始VP点**时，放置1个俄国占领标志，该标记向后移动一格。。每当俄国境内(俄国和阿塞拜疆)VP点被同盟国占领，或者放置了俄国占领标记的VP点被同盟国解放时，该标记向前移动一格。“上帝保佑沙皇”标志和俄国VP标志保持一致进行移动，但是当【不冻港】事件发生后，“上帝保佑沙皇”标志永远位于俄国VP标志+2的位置(革命推迟2个回合)。每个回合革命阶段，检查俄国革命标志和“上帝保佑沙皇”标志的位置。当回合纪录标志到达俄国革命标志及其以后的回合，同时满足到达“上帝保佑沙皇”标志及其以后的回合时，俄国革命开始，移除帕尔乌斯标志和“上帝保佑沙皇”标志，将俄国革命标志放置在革命进程进度条内的1位置，并在每个接下来的回合革命阶段前进一格。。- **(例外:某个回合革命阶段，当俄国占领了君士坦丁堡时，即使已经满足革命发生的条件，未发生的俄国革命不会发生，已发生的革命不会继续推进)**
90,cp,total,2,2,TRUE,,,,,,,,1,,汤森德谈判,TOWNSHEND TO LEMNOS,(只有在联合战争状态不小于32且【英国厌战】后才能打出)。同盟国自动胜利标记左移1格。
91,cp,total,2,2,TRUE,,,,,,,,1,,“蜜蜂”党骚乱,APIS,立即消灭一个塞尔维亚集团军(同盟国选择)。本回合塞尔维亚军队无法用于进攻**(但是协约国玩家在启动包含这些单位的地区时，仍需计算其启动花费)**
92,cp,total,2,2,TRUE,,,,,,,,1,,土耳其增援,TURKISH REINFORCEMENTS,增援:4个土耳其-阿拉伯步兵师。在叙利亚/巴勒斯坦地区或者西奈地区增加1处战壕。。如果在【阿拉伯起义】后打出，则这些部队以受损面进入。
93,cp,total,2,2,,TRUE,,,,,,,1,,淡水短缺,WATER SHORTAGE CC,(可以在战斗掷骰阶段后打出。只能适用于美索不达米亚、叙利亚/巴勒斯坦或者西奈的防守战斗)。获胜的协约国部队战斗后无法挺进，战败的同盟国部队无需撤退。
94,cp,total,2,2,TRUE,TRUE,,,,,,,1,,帕夏一号,PASHA 1 CC,这次战斗中，同盟国部队忽略恶劣天气修正，并可以以强火力表(LCU火力表)开火。
95,cp,total,3,4,TRUE,,1,,,,,1,2,,拯救保加利亚,&quot;TO HELP AND SAVE YOU&quot;,(只有在保加利亚/塞尔维亚地区存在协约国LCU时才能打出)。同盟国可以以每个LCU，每三个SCU-1VP合作将位于**摧毁栏**以及**此前永久移除**的任何奥匈或者德国单位重新以减损面放置在加利西亚地区。
96,cp,total,3,4,TRUE,,,,,,,1,2,,塔拉特帕夏内阁改革,TALAAT PASHA REFORMS CABINET,(只有在VP小于10时才能打出)。本次游戏剩余的时间取消所有的同盟国MO掷骰(本回合的MO也会被取消)。
97,cp,total,3,4,TRUE,TRUE,,,,,,1,2,,缴获沙皇军火,CZAR'S ARMORIES CC,(只能在俄国革命开始后，且在本次战斗中俄国境内VP被同盟国部队挺进占领时，挺进结束后才能打出)。同盟国立即获得4点土耳其补员点数来给高加索、俄国或者阿塞拜疆的土耳其部队补员。
98,cp,total,3,4,TRUE,TRUE,,,,,,1,2,,混乱指令,CONFUSED ORDERS CC,(只能在战斗掷骰后、挺进/撤退阶段前打出)。取消一次协约国的挺进和(或者)同盟国的撤退。。可以立即移动一个同盟国单位进入防守部队所在地区。(需要满足堆叠限制)
99,cp,total,3,4,TRUE,TRUE,,,,,1,2,3,,伊斯兰军,ARMY OF ISLAM CC,(只能在【泛突厥主义】后、圣战等级不小于6时打出)。- **在战斗开始前，**增援:HQ:土耳其伊斯兰军，至任何被启动进行攻击的高加索、俄国、阿塞拜疆或者中立波斯的土耳其/土耳其-阿拉伯部队。。- 仅在这次战斗中，同盟国可以首先开火。
100,cp,total,4,4,TRUE,,1,,,,1,2,3,,耶尔德里姆,YILDRIM,增援:3个德国耶尔德里姆步兵师，至任何可以连接至加利西亚的土耳其补给点。。如果法金汉HQ尚未被消灭，则还可以将其移动至存在耶尔德里姆师的地区。
101,cp,total,4,4,TRUE,,1,,,,1,2,3,,圣战至上,JIHAD SUPREMACY,(黄色事件)。(只能在圣战等级不小于10时打出)。当作事件打出时，正常使用此牌记录的OP点数，其OP只能启动包含部落单位的地区格。。所有被消灭的部落重新放置至部落预备格，随后将地图上可存在的部落补至最大数量。本轮中，任何包含部落单位的部队发起的攻击+1drm。
102,cp,total,4,4,TRUE,TRUE,1,,,,1,2,3,,圣战攻势,JIHAD OFFENSIVE,(只能在圣战等级不小于8时打出)。本轮中任何土耳其/土耳其-阿拉伯部队获得+1drm。仅有一次，土耳其/土耳其-阿拉伯部队的进攻可以取消任何战壕、跨河惩罚效果。
103,cp,total,4,4,TRUE,,,,,,1,2,3,,罗伯逊,ROBERTSON,(只能在1917年冬季后、【英国厌战】、【皇帝攻势】后，以及VP不小于13时打出)。协约国玩家必须选择:。A:+1VP。B:将最多3个英国/印度/澳新师移除游戏(派往西线)。。同盟国自动胜利标记左移1格。。在剩余的游戏中，每回合英国补员点数-1，协约国MO掷骰-2drm(**此外，掷骰“无”和“俄国”现在开始视为英国禁攻**)。解除同盟国在巴尔干地区的攻击限制。。(注:协约国选择移除师时，也可以以1LCU=3SCU的代价进行。选择移除师时，不能选择骑兵/骆驼师和英国特殊部队(例如英国波斯宪兵或者印度卫戍师等))
104,cp,total,4,4,TRUE,,,,,,1,2,3,,柏林-巴格达铁路,BERLIN-BAGHDAD RAILROAD,完成亚达纳和阿勒颇附近的铁路修建(君士坦丁堡-大马士革的铁路完成连通)。。现在同盟国在限制地区内可以存在最多3支LCU。。+1VP
105,cp,total,4,4,TRUE,,,,,,1,2,3,,皇帝攻势,KAISERSCHLACHT,协约国玩家必须选择:。A:+1VP。B:将最多3个英国/印度/澳新师移除游戏(派往西线)。。本回合德国补员点数无法使用。。(注:协约国移除时，也可以以1LCU=3SCU的代价进行。选择移除师时，不能选择骑兵/骆驼师和英国特殊部队(例如英国波斯宪兵或者印度卫戍师等))
106,cp,total,4,4,TRUE,,,,,,1,2,3,,土耳其增援,TURKISH REINFORCEMENTS,增援:土耳其-阿拉伯左翼集团，1个土耳其-阿拉伯步兵师。增援:土耳其第20军团、第22军团至预备军格
107,cp,total,4,4,TRUE,,1,,,,1,2,3,,高加索军队重组,CAUCASIAN ARMY REFORMS,立即消灭4个地图上/预备军格的土耳其/土耳其-阿拉伯LCU作为代价。。增援:土耳其高加索第1军团、土耳其高加索第2军团 至安纳托利亚、高加索或者加里波利的同盟国控制区域。
108,cp,total,5,5,TRUE,,2,,,,2,3,4,,无限制潜艇战,UNRESTRICTED SUBMARINE WARFARE,(不能在1917年冬季前打出，只能在【地中海潜艇猎袭】后打出)。-1VP。。剩余的游戏时间内，阻止新的海上入侵行动事件和行动(并且移除所有预备军格(未使用的)滩头标志，海上入侵事件牌此后只能当作增援打出)。在剩余的游戏时间里，当雅典不被协约国控制的场合，协约国任何**仅通过东地中海计算补给线的部队**启动花费+1，战略调整花费+1**(指仅从塞浦路斯岛屿基地或者东地中海沿岸港口计算补给线的部队)**
109,cp,total,5,5,TRUE,,2,,,,2,3,4,,耶尔德里姆攻势,YILDRIM OFFENSIVE,(黄色事件)。(只能在君士坦丁堡-加利西亚的铁路相连时打出)。当作事件打出时，正常使用此牌记录的OP点数。本轮所有土耳其/土耳其-阿拉伯部队进攻+1drm，一次包含有耶尔德里姆师的堆叠进攻时取消所有战壕效果。
110,cp,total,5,5,TRUE,,,,,,2,3,4,,英国厌战,BRITISH WAR WEARINESS,(只能在联合战争状态不小于28时打出)。将同盟国自动胜利标记放置在19，且接下来游戏中每个冬季回合结算时间-1格。。当战争状态结算阶段时，VP抵达同盟国自动胜利标记时，同盟国自动胜利。
